gene	lv1	lv2	rv1	rv2	genelength
Zfp949	67	85	393	855	3491
Pik3c3	250	324	1281	1539	3077
Commd2	245	211	1011	1080	2956
Ccdc120	144	87	488	681	3631
Id4	85	67	441	550	1657
Adcy9	38	56	366	438	4447
Slc44a4	2	7	15	15	2324
Gm1987	0	0	0	0	866
Tmprss15	0	0	0	0	3698
Mir344d-3	0	0	0	0	79
C130060K24Rik	0	2	12	5	2947
D3Ertd751e	167	167	649	897	3567
4930469G21Rik	0	0	0	14	952
4930471G03Rik	0	0	0	0	667
1700021K19Rik	1146	1222	7326	10035	5323
Ankrd29	172	155	729	941	3246
Olfr572	0	0	0	0	956
Psd	79	51	823	1126	3882
Gdf6	182	197	687	856	3530
Accn3	1	1	10	22	1931
Car11	64	92	336	525	1431
Wbscr17	31	46	396	491	4185
Rcn2	1013	1172	4604	5271	2035
Gm8439	0	0	5	5	416
Apoc1	102	84	258	254	536
Hoxa10	0	0	0	8	3139
Map3k5	396	435	3188	3891	5363
Sgms2	18	11	61	1017	5784
Pltp	448	482	1275	1567	1790
Vmn1r132_1	0	0	0	0	2401
Iqck	41	40	214	211	2017
Rdh7	0	0	0	0	1591
Tbc1d12	108	103	666	750	4196
Obsl1	5051	5368	41394	49300	5750
Kctd18	116	101	575	854	2725
Slc16a3	4205	3058	14009	15488	2570
Olfr101	0	0	0	0	926
Prss34	0	0	0	0	1211
Pdzk1ip1	101	115	428	453	1125
1700094D03Rik	42	59	259	492	3093
Chic2	172	163	1140	1233	1109
Rdh18-ps	0	0	0	1	3644
C130039O16Rik	574	608	3477	4111	7354
Cgrrf1	171	124	787	866	1196
Slc19a3	28	32	152	166	2967
Celf5	10	7	50	60	4378
Mir5127	0	0	0	0	70
Atp6v0c-ps2	0	0	9	0	1115
Olfml3	549	517	2796	2974	1733
Olfr1033	0	0	0	0	3740
Lgr6	1	2	43	34	3605
Mrgpra4	0	0	0	0	1502
Tfe3	687	622	2752	3395	3264
1810012P15Rik	426	367	1831	2562	5049
Olfr1208	0	0	0	0	926
4930404H21Rik	0	0	0	0	911
BC053749	324	367	1847	2407	2454
